Sentence,FK Reading Ease,FOG Scale,SMOG Index,ARI,CL Index,LW Formula,DC Score,Readability Consensus,Spache Formula
Her house arrest was extended by an additional 18 months in August for allowing an uninvited American man to stay at her home without official permission.,36.63,19.63,0.0,14.9,11.55,20.0,10.39,15.0,6.820384615384615
"Her lawyer, Nyan Win, who also is a spokesman for the opposition National League for Democracy, told reporters Saturday that the U.S. embassy in Rangoon is making arrangements with the party for the meeting.",45.43,18.31,0.0,19.7,11.96,22.0,10.9,11.0,7.403588235294118
"He's a 19 year-old father, though: so what, exactly, is?",86.71,8.0,0.0,5.7,4.44,5.0,7.29,4.0,3.1089999999999995
He said Beijing was fooling the world into thinking the situation between the Tibetan people and the Chinese had improved.,51.18,10.0,0.0,12.8,12.3,11.0,10.16,11.0,6.6690000000000005
He said he'd be surprised to see him run for a lower state office.,91.11,5.6,0.0,3.4,3.24,6.0,6.59,4.0,4.041571428571428
"He said he had been consistently warning Pakistan against meddling in India's affairs but if they continued to do so, ""we will deal with them strongly"".",62.01,13.48,0.0,14.6,10.22,15.0,9.78,15.0,7.151153846153846
He said he had not approached members of the council - who include police officers and social services professionals as well as medical experts - but about a third had already contacted him.,40.01,17.56,0.0,18.1,12.31,20.5,10.78,11.0,8.261612903225807
"He said he has been warning Pakistan not to play with India and that the Mumbai attacks should be the ""last game"".",82.99,8.8,0.0,9.5,6.44,11.0,8.32,9.0,5.895545454545454
He said he heard five to  seven shots  as he was leaving the stadium after his team's loss to Poly.,68.1,10.0,0.0,6.9,4.76,11.0,7.79,9.0,4.089
"He said he is honored to find himself a member of Washington's exclusive club of 100, after working for decades in support roles as a Kennedy aide and top Democratic Party official.",47.46,17.8,0.0,16.7,9.93,20.0,11.14,15.0,7.232249999999999
He said he joined the Reserve so he could support them financially.,76.22,8.13,0.0,6.6,8.4,6.0,9.5,6.0,4.680999999999999
"He said he simply intends to follow in Kennedy's footsteps, using his quiet skills to help bring health care reform to the nation.",73.51,9.2,0.0,12.2,9.52,11.5,10.27,10.0,6.3254782608695646
"He said he would be, and that reporters ""would have a political story Sunday.""",74.19,8.46,0.0,7.4,7.42,7.0,6.59,7.0,4.041571428571428
He said: 'I'd be surprised if the advisory council is operational by Christmas.',49.82,11.35,0.0,9.7,9.96,7.5,11.57,10.0,5.318153846153846
He said: 'Independent advisers should be free to give advice but they should not express it in such a highly public way on an issue of such sensitivity.,51.52,15.49,0.0,13.6,8.3,17.0,8.97,9.0,6.936999999999999
"He said it currently costs $350 for a gram of cocaine as opposed to ecstasy, which costs about $40 a tablet.",75.54,12.21,0.0,8.8,5.92,12.5,10.69,13.0,5.438095238095238
"He said it if Captain Camara stood for election in January, it would be difficult to see how such a vote could be credible or bring normalization of ties between Guinea, its neighbors, and the international community.",33.92,21.29,0.0,20.1,11.04,25.5,9.74,18.0,7.915459459459459
"He said Smith's decision to reclassify cannabis meant she had fallen victim to a ""skunk scare"", and in another dig at the government claimed that advocates of downgrading ecstasy from class A to class B had ""won the intellectual argument"".",30.88,23.0,0.0,22.1,11.33,29.0,11.15,12.0,8.414
He said Sowell was known for borrowing money and looking for scrap metal to sell.,73.17,8.67,0.0,7.1,7.65,7.5,7.54,8.0,4.6739999999999995
"He said that two years before two Sea Kings collided off Iraq in 2003, killing six Royal Navy officers and one American serviceman, he issued warnings about the risks.",58.96,15.74,0.0,15.6,10.51,18.5,11.06,16.0,6.410758620689656
He said the council needs to discuss how to raise or set aside money to fix roads and drainage.,86.03,7.6,0.0,7.1,5.92,8.5,8.73,6.0,4.423263157894736
He said the draft amendment to the Electoral Law would be submitted to a bimonthly session in December and a NPC plenary session in March next year for a second and third reading.,54.9,15.62,0.0,16.0,8.95,19.5,9.1,16.0,7.0556363636363635
"He said the United States is working with others in support of the early convening of a U.N. commission of inquiry on the September 28 attack, and backing African mediation led by Burkina Faso President Blasé Compaore aimed at moving Guinea to civilian rule through elections.",24.79,22.75,0.0,25.2,12.2,29.0,13.13,13.0,9.942391304347826
He said they had done so by censoring anyone who questioned them.,84.68,8.13,0.0,5.8,7.47,6.0,6.86,6.0,3.964333333333333
He said: 'Tim was rather introverted. He changed his life many times.',90.77,5.73,0.0,4.7,5.27,2.5,10.51,5.0,2.4016666666666664
"He said: 'When Gordon Brown says that cannabis is a ""lethal drug"", when it clearly isn't, young people are not going to pay him any notice. You don't reduce drug harm by lying.'",88.57,6.6,0.0,7.5,5.97,7.25,8.76,6.0,3.9473181818181815
"He said, ""You see that? I'm a captain.""",109.72,1.6,0.0,-0.7,-4.36,1.0,0.2,0.0,1.403
"He says his honesty is costing him his dream of living in this country with his wife Ann, a U.S. citizen.",75.54,8.4,0.0,8.1,5.11,11.5,9.19,8.0,4.619047619047619
"He says, ""I sometimes wonder if the very rich can live, on average, 20 years longer than the poor. That's 20 more years of earning and saving. Think about wealth and power and the advantages that you pass on to your children.""",91.11,7.5,7.8,6.3,6.43,6.666666666666667,7.34,8.0,3.632047619047619
He says Jackson believed that inflating his own worth meant the next deal that came his way would likely be presented with an extra zero already added in.,59.98,14.06,0.0,14.0,9.12,16.0,8.97,9.0,6.3227142857142855
"""He's been a model citizen. He was willing to die for his country in the service and this is how he's getting repaid?"" Theriot-Orr said.",75.71,6.6,0.0,5.9,5.96,6.25,6.78,6.0,3.6334999999999997
"""He's been just extraordinarily well received by colleagues.""",37.98,8.2,0.0,14.4,16.6,4.0,9.95,10.0,5.192
"He ""seems to have support across a number of constituencies. And I like his views on city planning,"" Yeoman said.",86.71,6.0,0.0,5.7,7.05,4.5,8.87,6.0,3.969
He's filed a complaint in U.S. District Court in Yakima seeking citizenship based on his military service and good conduct while living here.,68.26,8.08,0.0,8.7,10.54,5.75,11.76,9.0,5.077891304347826
"He sneaked back into the country Sept. 21 and took refuge in the Brazilian Embassy in Tegucigalpa, where he has remained, the compound surrounded by Honduran troops.",60.99,13.76,0.0,16.3,12.02,15.5,11.99,12.0,6.875629629629628
"""He's not coming back,"" she recalled telling her mother.",87.72,3.6,0.0,8.2,8.67,3.5,7.59,4.0,3.0635555555555554
"He's plainly right, this Nutt, when he says that the government's attitude to cannabis is counter-productive, ill-informed and vote-grabbing.",52.19,13.92,0.0,18.5,17.52,13.5,12.06,14.0,6.23378947368421
"He started with two former Treasury officials, Press secretary Mike Ellam and chief of staff Tom Scholar.",62.68,11.51,0.0,11.8,12.12,10.5,14.7,12.0,6.777176470588234
"""He's used the mayor's office to advance policies that have affected the world beyond San Francisco, and he's going to continue to do that,"" Ballard said.",53.55,15.02,0.0,14.9,9.99,16.0,10.39,10.0,7.151153846153846
"""He's won on both counts.""",117.16,2.0,0.0,1.8,-0.85,1.5,7.04,2.0,1.544
He then hinted the team that they should take into account the high-frequency vibration when the engine was running.,60.65,11.81,0.0,12.4,12.01,11.5,7.07,12.0,4.875894736842104
"He then made his way to Mexico City and boarded a plane to London, England.",81.63,8.67,0.0,5.2,4.92,7.5,8.59,6.0,5.247333333333334
He then passed it on without quoting -- or even identifying -- a single one of these experts.,55.24,8.9,0.0,8.9,8.18,9.0,8.38,9.0,4.7075
"He then worked on nuclear test-ban projects before joining the UN in 1998, said the CTBTO.",80.62,8.9,0.0,8.7,8.52,8.0,12.33,9.0,4.17
"He told a television interviewer Friday that ""it is not a certainty"" that Zelaya will be reinstated.",45.76,16.21,0.0,10.3,10.03,12.5,9.12,11.0,5.765411764705883
"He told The Mail on Sunday: 'I'm sure my children have tried drugs. In fact, some have told me they have.",103.12,4.2,0.0,2.9,3.05,4.25,5.66,3.0,2.3194999999999997
He told them he would be night-flying the following evening.,78.25,4.0,0.0,7.6,9.66,6.0,5.71,6.0,3.1089999999999995
"He told the police, for example, that he could provide proof of citizenship; Chaudhry said he only meant to show he was in the U.S. legally.",70.47,13.48,0.0,12.4,7.32,15.0,9.78,10.0,5.828076923076923
He visited three times.,75.88,11.6,0.0,4.1,4.35,2.0,11.73,4.0,3.553
"""He walks around and picks up scrap metal and takes it to junkyards to make a few pennies.""",87.05,7.2,0.0,6.9,5.28,8.0,8.92,6.0,4.332555555555555
"""He walks around and picks up scrap metal and takes it to junk yards to make a few pennies,"" said police spokesman Lt Thomas Stacho.",79.94,10.0,0.0,11.4,7.14,12.5,10.56,11.0,5.052
He was a disruptive student who once threw a flaming ball of paper at a teacher.,72.16,8.9,0.0,5.7,5.62,8.0,7.39,8.0,4.7075
He was a master of PR machinations.,81.29,8.51,0.0,1.6,3.26,3.5,8.5,4.0,3.0545714285714283
"""He was a 'people's scientist' with firm political belief and pure moralities,"" researcher Yu Jingyuan said.",55.24,13.9,0.0,13.9,13.63,11.0,13.31,14.0,6.32
"""He was a true science leader and master with brilliant scientific and philosophic thinking.""",48.81,11.31,0.0,12.5,14.03,8.0,9.97,10.0,5.884428571428572
"""He was crazy,"" she said from her porch Saturday.",96.18,3.6,0.0,4.5,4.78,4.5,0.45,5.0,2.1079999999999997
"He was entertaining, personable and pleasant.",31.55,15.73,0.0,13.0,15.88,4.0,9.2,16.0,4.551666666666666
"""He was flying, just like he liked to,"" she said.",103.63,4.0,0.0,2.4,1.54,4.0,7.29,2.0,3.1089999999999995
He was honorably discharged in May 2006.,81.29,8.51,0.0,5.0,7.37,3.5,10.75,4.0,4.283142857142856
He was intrigued by one tract near downtown and one closer to the Museum District.,73.17,8.67,0.0,7.4,8.05,7.5,9.64,7.0,5.247333333333334
"""He wasn't mechanically inclined, so we were particularly proud of him, because he had to master an awful lot,"" said David Leigh, who lives in Belgrade.",53.55,13.48,0.0,14.6,9.58,15.0,8.57,15.0,5.828076923076923
He was right.,119.19,1.2,0.0,-2.7,-6.26,0.5,0.15,1.0,1.262
He was sacked as sports minister at the end of 2004 in the midst of an audit into his financial dealings -- perhaps one reason for a streak of animus that runs through the book -- and replaced by a Communist Party apparatchik with no sporting experience.,34.26,23.33,0.0,22.8,9.77,29.5,11.48,23.0,9.09511111111111
"He was taken into custody Friday in Atlanta, Georgia, and was extradited to Arizona on Saturday, police said.",44.75,9.42,0.0,11.6,10.79,11.0,8.92,11.0,5.765888888888888
He was the pilot shot down in Bosnia in 1995.,103.63,4.0,0.0,0.5,1.54,4.0,8.87,4.0,3.1089999999999995
"He was treated like a rock star at his town hall meetings, but despised the long hours of fundraising phone calls.",84.0,8.4,0.0,10.2,8.12,10.5,9.19,9.0,5.438095238095238
"""He was yelling. It was pretty bad.""",110.22,1.4,0.0,0.5,-2.88,0.75,6.07,1.0,1.3325
"""He went off on her, started hitting her, and then it was on. They pulled a train (a gang initiation-style rape, one after the other) on her.""",83.15,6.88,0.0,5.6,4.92,6.25,7.81,5.0,3.698055555555555
He will face court again on January 7.,88.74,3.2,0.0,0.8,2.1,4.0,6.01,3.0,1.9669999999999999
"He will have to report daily to police, is not allowed out between 9pm and 6am, cannot consume alcohol or enter a licensed premises, must surrender his passport and not have any direct or indirect contact with the alleged victim.",39.34,19.0,0.0,20.9,10.28,23.0,10.75,11.0,8.844
"He will supply a $1 billion loan for ""supplemental liquidity"" that can be used as bankruptcy financing, the New York-based company said.",40.69,16.07,0.0,14.2,11.43,16.0,11.19,11.0,6.286454545454545
He wrote down (at least some of) what they said.,112.09,4.0,0.0,1.9,2.12,4.0,0.5,4.0,2.2489999999999997
"Hey Folks,  I applied chili555's suggestion and it works like a charm.",84.68,8.13,0.0,7.3,8.4,6.0,9.5,6.0,3.964333333333333
"Hey, GOP elites: Can you hear conservatives NOW?!",80.28,8.2,0.0,7.3,7.9,4.0,9.95,8.0,3.042
"Hey guys, perhaps this is a very silly question, but...",86.71,4.0,0.0,5.2,5.02,4.0,5.71,4.0,2.2489999999999997
Hey-  I ma having an issue with Open Office crashing on exit.,67.76,4.8,0.0,3.8,4.57,5.0,8.18,5.0,3.964333333333333
"hey Louise,    many congratulations to you - i have sent you forum mail.",42.38,8.13,0.0,6.9,7.93,6.5,8.18,8.0,3.964333333333333
Hey there.,120.21,0.8,0.0,0.8,-7.41,0.0,0.1,0.0,1.121
Hey this post have helped me quite a bit.,113.1,3.6,0.0,0.4,1.59,3.5,5.84,0.0,2.1079999999999997
hi..,121.22,0.4,0.0,-2.2,-33.81,-0.5,19.48,0.0,0.98
Hi!,121.22,0.4,0.0,-6.9,-33.81,-0.5,19.48,0.0,0.98
Hi.,121.22,0.4,0.0,-6.9,-33.81,-0.5,19.48,0.0,0.98
Hi...,121.22,0.4,0.0,2.6,-33.81,-0.5,19.48,0.0,0.98
Hi ADK-  I love Martha's too!,99.23,2.4,0.0,-0.5,-1.53,2.0,11.83,0.0,1.6849999999999998
"Hi all,  I have a question on BitTorrent and Tor.",78.25,8.0,0.0,1.9,2.7,5.0,8.87,5.0,3.1089999999999995
"Hi all, I have a trouble with Gnome panel.",96.18,3.6,0.0,0.9,1.59,3.5,9.35,4.0,3.0635555555555554
"Hi all,  i just installed hoarty in my tibook 667 mhz.",77.23,4.4,0.0,2.5,3.17,4.5,12.79,5.0,4.7354545454545445
"Hi all,    Looking to treat my husband to a helicopter trip round New York for his 30th this October.",60.65,9.71,0.0,7.9,6.56,11.5,8.73,10.0,4.423263157894736
"Hi all,      Me and my boyfriend will be visiting New York in october!",49.82,8.28,0.0,4.3,4.57,7.5,9.14,10.0,3.333538461538461
"Hi All,    Will be heading out to Montauk for my birthday next weekend.",66.74,5.2,0.0,5.4,5.9,5.5,9.14,6.0,4.6566153846153835
"Hi, and welcome to the Forums.",90.77,2.4,0.0,1.2,1.38,2.0,9.2,2.0,3.1183333333333327
Hi Carontis:  Does the machine boot completely?,55.91,8.51,0.0,9.0,11.55,3.5,10.75,9.0,4.283142857142856
Hicks said her daughter would not be trick-or-treating.,71.82,3.2,0.0,10.8,13.01,4.0,7.98,4.0,3.042
Hicks said she didn't think Sowell had a job but understood from conversations with him that he lived on a monthly check.,66.07,12.44,0.0,11.0,8.53,13.0,9.03,9.0,5.504636363636363
Hi element!,35.61,20.8,0.0,3.1,-4.51,1.0,19.53,9.0,5.420999999999999
"Hi everyone,  I've installed ubuntu breezybadger and upgraded up to Ubuntu 6.06 LTS a couple of days ago, on my machine with 4 Intel Xeon cpus (2.66Ghz); just yesterday I've upgraded the kernel (which was originally -386) to 2.6.15-26-686 in order to exploit the multiprocessor architecture  everything was working very well; SO well that I finally launched the execution of four numerical simulations (scientific work)      a couple of hours ago I was working on the machine (while the four jobs were running smoothly since 20 hours) when it suddenly froze up completely     screen frozen, keyboard frozen, mouse pointer frozen, alternate screens inaccessible, network interface frozen (no ping from remote): death of the system  I've never seen such a horrible freeze in many years of heavy work with linux&c",-66.91,55.89,0.0,67.3,12.96,67.0,16.4,13.0,20.835437499999998
"Hi, first thanks for what you've done researching gc89.",87.72,8.04,0.0,7.7,9.31,4.5,9.35,9.0,3.0635555555555554
Highly recommended!,-49.0,20.8,0.0,22.0,18.7,1.0,19.53,21.0,9.721
"High school teacher Irv Pass, who voted near Reliant Park, said he appreciated Parker's honesty at debates and in news stories.",58.62,10.3,0.0,13.1,11.14,11.5,9.94,10.0,6.257142857142856
